,Datetime,Tweet Id,Text,Username
0,2016-11-30 21:16:30+00:00,804071632285421574,Naira Appreciates Marginally at Interbank Market… See Latest Value https://t.co/hfSMa5ztqS https://t.co/gLeddPteQy,NigeriaItJobs
1,2016-11-30 18:32:35+00:00,804030379896217600,Naira Appreciates Marginally at Interbank Market... See Latest Value https://t.co/nOMk4CVzPK,justawoof
2,2016-11-30 18:17:11+00:00,804026506305536011,Is there no way this ponzi schemes can improve the value of Naira😏😏,DJace__
3,2016-11-30 17:06:14+00:00,804008650159362048,Naira Appreaciates Marginally at Interbank Market... See Latest Value https://t.co/6mchGK8vxn,Tori_Nigeria
4,2016-11-30 14:20:50+00:00,803967025903181824,@snailslice it's complicated. The Nigerian currency (Naira) keeps depreciating in value.,unstablebussy
5,2016-11-30 11:19:52+00:00,803921483785531392,"Naira sinks as scarcity returns, today's value is shocking.....See value below https://t.co/MtkC3FAyfd",247NNU
6,2016-11-30 10:04:55+00:00,803902620398157824,"As the scarcity of foreign exchange gets stronger at the parallel market, the value of the naira dipped further... https://t.co/lO5R7EcsXC",NG_DailyNews
7,2016-11-30 09:54:31+00:00,803900006117810176,SHOCKER! Naira Collapses In FOREX Market....the current value of naira is heartbreaking https://t.co/BDdRf4OAmY,247NNU
8,2016-11-30 08:56:42+00:00,803885455213207552,Inflation everywhere since the Naira has no value again. Sad!,AYOOijiwole
9,2016-11-30 08:45:41+00:00,803882683550076928,"As the scarcity of foreign exchange gets stronger at the parallel market, the value of the naira dipped further... https://t.co/N7EWFJKgoq",businesdispatch
10,2016-11-30 08:29:33+00:00,803878623463739392,@msidusogie at that time naira had value and there was no recession.,ZemZem_24
11,2016-11-30 08:14:53+00:00,803874931255676928,"Value of Naira in pocket 2day has dropped by more than 50% within 18mnths, yet more pressure is being put on these meager depreciated sums.",saikimuktar
12,2016-11-30 07:50:05+00:00,803868689523036160,Lol. Can they afford to? Naira has lost 85% of its value since GEJ left... I doubt their income has increased 85% https://t.co/PklJRdr48h,MrAyeDee
13,2016-11-30 07:36:51+00:00,803865360336293888,Naira loses 85% of value in two years – CBN - Punch Newspapers https://t.co/Anmq6zIxp9,henryomoregie
14,2016-11-30 06:14:36+00:00,803844658887589888,"Same govt can't then argue that it spent more because the Naira lost its value. In the period under review, Naira value was same. @Makizee6",JoyceOdukoya
15,2016-11-30 06:08:51+00:00,803843213077467137,They said wit depreciating value of Naira CAPEX reinvestment becomes almost impossible 4 d operators to take on &amp; these are all dollar based,obiBona
16,2016-11-30 05:39:30+00:00,803835826098634752,"As the scarcity of foreign exchange gets stronger at the parallel market, the value of the naira dipped further... https://t.co/QWFC3MX8wP",amkareto
