,Datetime,Tweet Id,Text,Username
0,2020-11-30 23:58:32+00:00,1333561078815535105,"1step ahead today, 5 steps back tomorrow @cenbank with all the books you have read and grammar you people speak, no solution to stable naira-dollar relationship. https://t.co/HXrldLIdZL",fciheanyi
1,2020-11-30 23:50:25+00:00,1333559038819315721,@LunoHelp Update your NAIRA (local price value as the usd rise) the dollar rise while the equivalent did not move. Pls be fast,GenInfotechent
2,2020-11-30 23:45:54+00:00,1333557899688374280,This naira to dollar thing fam.,__mahatma
3,2020-11-30 23:39:05+00:00,1333556184708767749,Before buhari leave office 1 dollar will be 1000 naira,ishaka_jibrin
4,2020-11-30 23:38:19+00:00,1333555993184264193,@Ay_bkini 500+ na buying price sir...485 na selling; you sold dollar for naira. The N15 difference is Aboki's gain if person wan buy your dollar back from aboki sir,meet_gaga
5,2020-11-30 23:38:00+00:00,1333555914708815877,"@davido Oya change dollar to Naira

And you will shout shekpe",FafaSamie
6,2020-11-30 23:29:42+00:00,1333553825936969728,Omo...nobody should sha marry my husband ooo😒😒😒😒😒everywhere yes yes yes😒😒😒and they will be saying no money no money dollar is 500 naira 😒😒😒 https://t.co/gTSgvfUteX,IMhiday
7,2020-11-30 23:16:35+00:00,1333550523962765314,@davido No be lie Baba. Na for Una wey dey see the dollar na. We gan never see the Naira finish. Talkless of exchange rate. Check height in the diff👌😭,officiallasbizy
8,2020-11-30 23:16:07+00:00,1333550407315042308,"@iam_hadijat @ayo_bolaO @obidi___ Think about it this way. You pull $1000 from your account and changed it to N360k to invest. You doubled the money and then want to change back to $. Things is, dollar is now N500. Means naira's value just cost you $600. Now imagine buying $ at N200, and now it's N500.",g_osi
9,2020-11-30 23:12:15+00:00,1333549433405968387,"@davido You even get dollar you dey change am to naira
Ok",dallatu_daniel
10,2020-11-30 23:11:31+00:00,1333549248911171586,"@g_osi @_LOLU @ayo_bolaO @obidi___ Wait, are u telling me you are not paying rent where you re living?
Even if you buy that property or not, dollar will keep increasing and naira will keep depreciating
So what's your point? And since you're arguing a house isn't a good investment, what is a good investment to you?",iam_hadijat
